Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron
201.0,Bash/Shell/PowerShell,Go,Microsoft SQL Server,Cassandra,Docker,Android,Django,Angular/Angular.js,IntelliJ
202.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Google Cloud Platform,Docker,Angular/Angular.js,Angular/Angular.js,Sublime Text
207.0,Java,Dart,Firebase,Firebase,Android,Android,jQuery,React.js,Android Studio
209.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,Linux,AWS,jQuery,React.js,Atom
211.0,C#,Other(s):,Microsoft SQL Server,PostgreSQL,Android,Android,ASP.NET,ASP.NET,Android Studio
212.0,C#,HTML/CSS,MariaDB,MariaDB,Android,Arduino,jQuery,jQuery,Android Studio
213.0,Go,Go,DynamoDB,DynamoDB,AWS,AWS,Django,Django,Notepad++
216.0,Go,C,PostgreSQL,PostgreSQL,AWS,Arduino,Spring,React.js,IntelliJ
217.0,Go,Go,MongoDB,MongoDB,Heroku,Android,jQuery,React.js,Atom
219.0,C#,JavaScript,Microsoft SQL Server,PostgreSQL,Windows,Linux,ASP.NET,React.js,Notepad++
220.0,C#,C#,Microsoft SQL Server,MongoDB,Microsoft Azure,Android,ASP.NET,Angular/Angular.js,Visual Studio
223.0,Java,Java,SQLite,SQLite,Android,Android,jQuery,React.js,Android Studio
224.0,Go,Go,MySQL,PostgreSQL,Docker,Docker,jQuery,React.js,Vim
227.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,Linux,Docker,Flask,Drupal,Atom
231.0,Elixir,Elixir,Elasticsearch,Elasticsearch,Google Cloud Platform,Google Cloud Platform,Ruby on Rails,Ruby on Rails,RubyMine
232.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,SQLite,Android,Android,ASP.NET,ASP.NET,Android Studio
234.0,Bash/Shell/PowerShell,Clojure,MySQL,MongoDB,Docker,Docker,jQuery,Flask,Emacs
238.0,HTML/CSS,Go,MySQL,Elasticsearch,iOS,Android,jQuery,Express,PHPStorm
241.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Microsoft Azure,Linux,jQuery,jQuery,Sublime Text
245.0,C#,C#,MySQL,MongoDB,Windows,Windows,Angular/Angular.js,Angular/Angular.js,Visual Studio
246.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Arduino,Angular/Angular.js,ASP.NET,IntelliJ
247.0,C++,C++,MySQL,PostgreSQL,Android,Windows,jQuery,React.js,Notepad++
249.0,Bash/Shell/PowerShell,Python,Microsoft SQL Server,Elasticsearch,Linux,Linux,ASP.NET,React.js,Eclipse
252.0,HTML/CSS,JavaScript,Microsoft SQL Server,PostgreSQL,AWS,AWS,Ruby on Rails,Ruby on Rails,Atom
253.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,AWS,AWS,React.js,jQuery,Vim
254.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio
259.0,C#,C#,Microsoft SQL Server,Other(s):,AWS,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Coda
261.0,HTML/CSS,Swift,Firebase,Firebase,Android,Android,React.js,React.js,Android Studio
262.0,C++,JavaScript,Couchbase,Couchbase,Android,Arduino,Angular/Angular.js,Angular/Angular.js,Android Studio
268.0,C,Go,MySQL,Elasticsearch,AWS,AWS,Laravel,Django,PHPStorm
271.0,C#,C#,Microsoft SQL Server,Elasticsearch,Microsoft Azure,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
273.0,Bash/Shell/PowerShell,Elixir,MongoDB,Other(s):,Docker,Google Cloud Platform,Angular/Angular.js,Other(s):,IntelliJ
275.0,C#,Assembly,DynamoDB,Cassandra,Android,Docker,Angular/Angular.js,Flask,Android Studio
276.0,HTML/CSS,Java,MySQL,Elasticsearch,AWS,AWS,React.js,React.js,IntelliJ
277.0,Bash/Shell/PowerShell,C++,MongoDB,MongoDB,Linux,Linux,Flask,Django,Visual Studio Code
279.0,HTML/CSS,Go,MySQL,MySQL,AWS,AWS,Django,Django,Notepad++
280.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,Angular/Angular.js,Angular/Angular.js,Notepad++
283.0,HTML/CSS,Go,MySQL,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Atom
285.0,C#,C#,Microsoft SQL Server,MongoDB,Windows,Android,Angular/Angular.js,Angular/Angular.js,Atom
286.0,Dart,HTML/CSS,DynamoDB,DynamoDB,AWS,AWS,Vue.js,React.js,Visual Studio Code
289.0,C++,Rust,MySQL,MySQL,Linux,Android,jQuery,React.js,PHPStorm
292.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,PostgreSQL,Google Cloud Platform,Docker,ASP.NET,Express,Visual Studio
293.0,HTML/CSS,Go,Firebase,Firebase,Docker,Android,Spring,Express,Android Studio
301.0,C++,Clojure,MongoDB,Firebase,AWS,Android,Angular/Angular.js,Express,Android Studio
302.0,Bash/Shell/PowerShell,C++,Elasticsearch,Redis,Docker,Docker,ASP.NET,React.js,Sublime Text
304.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,DynamoDB,AWS,AWS,Vue.js,Vue.js,IPython / Jupyter
305.0,C#,C#,Microsoft SQL Server,Elasticsearch,Docker,Docker,ASP.NET,ASP.NET,IntelliJ
306.0,C,HTML/CSS,PostgreSQL,PostgreSQL,AWS,AWS,Angular/Angular.js,Flask,PyCharm
308.0,HTML/CSS,HTML/CSS,PostgreSQL,SQLite,Heroku,AWS,Express,Express,Atom
310.0,C#,C#,MongoDB,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Notepad++
311.0,Assembly,C++,MongoDB,Cassandra,Arduino,Android,ASP.NET,Angular/Angular.js,NetBeans
312.0,Bash/Shell/PowerShell,Java,PostgreSQL,PostgreSQL,AWS,AWS,Ruby on Rails,Ruby on Rails,Atom
316.0,Bash/Shell/PowerShell,Java,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Express,Android Studio
317.0,Java,Java,PostgreSQL,Cassandra,Docker,AWS,Spring,Spring,IntelliJ
319.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,AWS,Angular/Angular.js,Express,Coda
321.0,HTML/CSS,JavaScript,Elasticsearch,Elasticsearch,AWS,AWS,jQuery,jQuery,RubyMine
322.0,C#,Swift,Microsoft SQL Server,PostgreSQL,Android,AWS,ASP.NET,Django,Visual Studio
324.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,Angular/Angular.js,Angular/Angular.js,Sublime Text
326.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,AWS,Google Cloud Platform,Angular/Angular.js,Flask,RStudio
328.0,HTML/CSS,Bash/Shell/PowerShell,MongoDB,Cassandra,Android,Android,Express,Express,Atom
329.0,C,F#,Microsoft SQL Server,Microsoft SQL Server,iOS,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
330.0,Java,Java,Oracle,Elasticsearch,Android,Android,Laravel,Angular/Angular.js,Android Studio
332.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,SQLite,Redis,iOS,iOS,React.js,React.js,Atom
333.0,Python,Clojure,MongoDB,PostgreSQL,AWS,AWS,jQuery,React.js,Emacs
334.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,DynamoDB,AWS,AWS,Flask,Flask,PyCharm
335.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,iOS,iOS,ASP.NET,React.js,IntelliJ
338.0,Bash/Shell/PowerShell,C,MariaDB,MariaDB,Linux,Android,jQuery,Django,Atom
340.0,C#,C#,Microsoft SQL Server,MongoDB,Windows,Docker,ASP.NET,Angular/Angular.js,Vim
341.0,C++,C++,Microsoft SQL Server,Microsoft SQL Server,Arduino,Arduino,ASP.NET,React.js,Notepad++
345.0,Java,Java,MongoDB,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
351.0,Assembly,C,MySQL,Elasticsearch,Android,Android,Spring,Angular/Angular.js,Eclipse
352.0,HTML/CSS,Elixir,MySQL,MySQL,Heroku,Google Cloud Platform,React.js,React.js,Visual Studio Code
354.0,HTML/CSS,Go,Elasticsearch,DynamoDB,Android,Android,Angular/Angular.js,Express,Android Studio
356.0,HTML/CSS,Go,MongoDB,Elasticsearch,Android,Android,Django,Django,PyCharm
357.0,HTML/CSS,HTML/CSS,MongoDB,PostgreSQL,MacOS,MacOS,React.js,React.js,Vim
364.0,Bash/Shell/PowerShell,Go,DynamoDB,MongoDB,AWS,Kubernetes,Angular/Angular.js,React.js,PHPStorm
372.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Linux,AWS,jQuery,Angular/Angular.js,NetBeans
373.0,C#,Dart,Microsoft SQL Server,Firebase,Android,Android,ASP.NET,Spring,Android Studio
374.0,HTML/CSS,JavaScript,PostgreSQL,Elasticsearch,AWS,AWS,Flask,Django,IPython / Jupyter
375.0,Bash/Shell/PowerShell,Kotlin,MySQL,MySQL,Other(s):,Other(s):,Django,Django,Android Studio
378.0,C#,C#,MariaDB,MariaDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
382.0,C#,HTML/CSS,MariaDB,MariaDB,MacOS,MacOS,jQuery,Angular/Angular.js,NetBeans
383.0,Bash/Shell/PowerShell,JavaScript,MongoDB,MongoDB,AWS,AWS,jQuery,React.js,Atom
384.0,Bash/Shell/PowerShell,Assembly,Elasticsearch,Elasticsearch,Docker,Docker,React.js,React.js,Visual Studio Code
388.0,C,C,MongoDB,MongoDB,AWS,AWS,Express,Express,Eclipse
389.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,DynamoDB,iOS,Android,React.js,React.js,RubyMine
392.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Android,Android,ASP.NET,Angular/Angular.js,IPython / Jupyter
394.0,C#,Elixir,Microsoft SQL Server,Cassandra,Docker,AWS,ASP.NET,React.js,Sublime Text
395.0,HTML/CSS,HTML/CSS,Elasticsearch,Elasticsearch,Android,Android,jQuery,jQuery,Android Studio
398.0,Bash/Shell/PowerShell,C,MariaDB,Microsoft SQL Server,Linux,Kubernetes,jQuery,jQuery,Notepad++
400.0,Bash/Shell/PowerShell,C++,MySQL,PostgreSQL,Android,Android,jQuery,React.js,Android Studio
401.0,JavaScript,C#,MySQL,PostgreSQL,AWS,AWS,jQuery,Django,Vim
402.0,C#,C#,Oracle,Oracle,Windows,Android,jQuery,React.js,Visual Studio
404.0,C#,C#,Firebase,Microsoft SQL Server,Android,Android,jQuery,ASP.NET,Android Studio
405.0,Java,Java,MySQL,PostgreSQL,Linux,Linux,Angular/Angular.js,Angular/Angular.js,IntelliJ
406.0,HTML/CSS,HTML/CSS,MongoDB,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
408.0,Assembly,Assembly,Couchbase,Elasticsearch,Android,Android,Angular/Angular.js,React.js,Android Studio
410.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Docker,Arduino,ASP.NET,ASP.NET,Notepad++
411.0,C,Bash/Shell/PowerShell,MySQL,MySQL,Linux,Linux,jQuery,React.js,Eclipse
413.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,DynamoDB,AWS,AWS,jQuery,React.js,PHPStorm
414.0,Bash/Shell/PowerShell,C++,MySQL,PostgreSQL,Android,Docker,Django,React.js,Android Studio
416.0,C,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET,ASP.NET,Notepad++
421.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,Arduino,jQuery,React.js,Visual Studio Code
424.0,C,C++,Oracle,PostgreSQL,Arduino,Docker,jQuery,React.js,PyCharm
426.0,Java,Java,MySQL,Cassandra,Android,Android,jQuery,jQuery,Android Studio
427.0,C#,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Microsoft Azure,Docker,ASP.NET,ASP.NET,Notepad++
428.0,Bash/Shell/PowerShell,Java,Oracle,PostgreSQL,Linux,AWS,Spring,Spring,IntelliJ
429.0,C#,Python,Microsoft SQL Server,PostgreSQL,Windows,Android,ASP.NET,Django,Visual Studio
432.0,HTML/CSS,HTML/CSS,DynamoDB,MariaDB,Android,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
434.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,AWS,Microsoft Azure,ASP.NET,ASP.NET,Sublime Text
435.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Cassandra,Docker,AWS,ASP.NET,ASP.NET,Atom
436.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Couchbase,Android,Android,jQuery,Laravel,Android Studio
437.0,JavaScript,JavaScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Visual Studio
439.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MongoDB,Linux,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
443.0,HTML/CSS,HTML/CSS,MySQL,Firebase,Android,Android,React.js,Express,Visual Studio Code
445.0,C#,C#,Microsoft SQL Server,MongoDB,Linux,Android,ASP.NET,ASP.NET,Visual Studio
447.0,Bash/Shell/PowerShell,F#,MySQL,Cassandra,Arduino,Arduino,Django,Spring,IntelliJ
450.0,C#,Go,MySQL,PostgreSQL,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
452.0,SQL,Python,Microsoft SQL Server,MongoDB,Windows,AWS,jQuery,ASP.NET,Notepad++
453.0,C++,C#,MongoDB,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Notepad++
460.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Elasticsearch,AWS,AWS,Django,ASP.NET,IntelliJ
462.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Docker,AWS,Flask,Flask,Notepad++
463.0,HTML/CSS,HTML/CSS,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
466.0,HTML/CSS,Dart,MongoDB,Redis,AWS,Linux,Drupal,React.js,Atom
467.0,Java,Kotlin,PostgreSQL,PostgreSQL,AWS,Docker,Spring,Django,IntelliJ
469.0,Bash/Shell/PowerShell,JavaScript,MariaDB,MongoDB,Linux,AWS,jQuery,Express,Atom
471.0,Java,JavaScript,MongoDB,DynamoDB,AWS,AWS,Express,React.js,Sublime Text
475.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
476.0,HTML/CSS,Go,Firebase,Firebase,AWS,AWS,Laravel,Laravel,PHPStorm
479.0,C#,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Windows,Microsoft Azure,ASP.NET,Angular/Angular.js,Notepad++
485.0,Java,Java,MariaDB,MariaDB,AWS,AWS,jQuery,React.js,IntelliJ
486.0,Bash/Shell/PowerShell,Clojure,Elasticsearch,Elasticsearch,Android,Android,Express,Angular/Angular.js,Android Studio
489.0,C++,C++,PostgreSQL,PostgreSQL,Windows,AWS,jQuery,Flask,IPython / Jupyter
497.0,Dart,Dart,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
498.0,C++,HTML/CSS,PostgreSQL,PostgreSQL,AWS,AWS,Express,Express,IntelliJ
499.0,Bash/Shell/PowerShell,JavaScript,MariaDB,Elasticsearch,Heroku,Arduino,Angular/Angular.js,Angular/Angular.js,Sublime Text
500.0,C++,C++,MySQL,PostgreSQL,Arduino,Android,jQuery,React.js,Visual Studio
503.0,Bash/Shell/PowerShell,JavaScript,MySQL,MySQL,AWS,Linux,jQuery,Angular/Angular.js,Sublime Text
510.0,Python,C++,Elasticsearch,Elasticsearch,AWS,Docker,Django,Django,Vim
